date_time,id_site,long,lat,v1,v2,ok
2012-01-01 00:29:00,1,43°24.649' N,004°09.767' E,38,121,t
2012-01-01 00:29:00,4,42°29.358' N,003°10.079' E,40,122,t
2012-01-01 00:30:00,8,43°22.300' N,003°46.802' E,49,67,t
2012-01-01 00:30:00,7,43°22.300' N,003°46.802' E,49,67,t
2012-01-01 00:57:00,2,43°24.651' N,004°09.770' E,41,115,t
2012-01-01 01:02:00,3,42°29.359' N,003°10.064' E,20,164,t
2012-01-01 00:59:00,6,42°54.976' N,003°07.513' E,27,66,t
2012-01-01 00:59:00,5,42°54.976' N,003°07.513' E,27,66,t
2012-01-01 01:29:00,1,43°24.653' N,004°09.769' E,37,110,t
2012-01-01 01:29:00,4,42°29.365' N,003°10.038' E,43,259,t
2012-01-01 01:30:00,8,43°22.301' N,003°46.803' E,52,67,t
2012-01-01 01:30:00,7,43°22.301' N,003°46.803' E,52,67,t
2012-01-01 01:57:00,2,43°24.651' N,004°09.767' E,36,119,t
2012-01-01 02:02:00,3,42°29.366' N,003°10.037' E,45,264,t
