date;"puechabon_global_radiation (MJ.m-2)"
	2000-01-01 00:00:00	;NaN
	2000-02-01 00:00:00	;NaN
	2000-03-01 00:00:00	;NaN
	2000-04-01 00:00:00	;NaN
	2000-05-01 00:00:00	;NaN
	2000-06-01 00:00:00	;NaN
	2000-07-01 00:00:00	;582.02169138
	2000-08-01 00:00:00	;354.29428998
	2000-09-01 00:00:00	;261.18736416
	2000-10-01 00:00:00	;147.89345796
	2000-11-01 00:00:00	;110.71994976
	2000-12-01 00:00:00	;116.28267336
	2001-01-01 00:00:00	;274.9845429
	2001-02-01 00:00:00	;350.92361106
	2001-03-01 00:00:00	;535.31113788
	2001-04-01 00:00:00	;599.56689888
	2001-05-01 00:00:00	;705.52656774
	2001-06-01 00:00:00	;697.1866992
	2001-07-01 00:00:00	;649.11293838
	2001-08-01 00:00:00	;470.98799784
	2001-09-01 00:00:00	;250.10338734
	2001-10-01 00:00:00	;205.61289966
	2001-11-01 00:00:00	;181.33982244
	2001-12-01 00:00:00	;165.35151108
	2002-01-01 00:00:00	;220.72767138
	2002-02-01 00:00:00	;387.47656044
	2002-03-01 00:00:00	;388.35102024
	2002-04-01 00:00:00	;616.58556426
	2002-05-01 00:00:00	;687.60448182
	2002-06-01 00:00:00	;744.62650218
	2002-07-01 00:00:00	;590.94633132
	2002-08-01 00:00:00	;396.44410608
	2002-09-01 00:00:00	;273.93150726
	2002-10-01 00:00:00	;169.05723192
	2002-11-01 00:00:00	;101.93075478
	2002-12-01 00:00:00	;181.73642598
	2003-01-01 00:00:00	;190.05621786
	2003-02-01 00:00:00	;376.02491166
	2003-03-01 00:00:00	;436.41336492
	2003-04-01 00:00:00	;634.08875382
	2003-05-01 00:00:00	;628.7548779
	2003-06-01 00:00:00	;752.33266074
	2003-07-01 00:00:00	;637.55609328
	2003-08-01 00:00:00	;426.85861302
	2003-09-01 00:00:00	;244.97174412
	2003-10-01 00:00:00	;146.46831804
	2003-11-01 00:00:00	;123.59927862
	2003-12-01 00:00:00	;136.40878062
	2004-01-01 00:00:00	;220.98002364
	2004-02-01 00:00:00	;361.23523182
	2004-03-01 00:00:00	;424.0488186
	2004-04-01 00:00:00	;610.8023619
	2004-05-01 00:00:00	;721.42080084
	2004-06-01 00:00:00	;756.51402006
	2004-07-01 00:00:00	;510.03910062
	2004-08-01 00:00:00	;424.54643886
	2004-09-01 00:00:00	;200.97037332
	2004-10-01 00:00:00	;203.17350042
	2004-11-01 00:00:00	;159.08670216
	2004-12-01 00:00:00	;210.41904924
	2005-01-01 00:00:00	;275.24892204
	2005-02-01 00:00:00	;420.32379708
	2005-03-01 00:00:00	;452.30594886
	2005-04-01 00:00:00	;694.76766498
	2005-05-01 00:00:00	;703.28284668
	2005-06-01 00:00:00	;768.18769308
	2005-07-01 00:00:00	;662.03829954
	2005-08-01 00:00:00	;421.73847342
	2005-09-01 00:00:00	;193.440717
	2005-10-01 00:00:00	;191.65770774
	2005-11-01 00:00:00	;168.85150326
	2005-12-01 00:00:00	;158.24449818
	2006-01-01 00:00:00	;289.90756332
	2006-02-01 00:00:00	;370.93549698
	2006-03-01 00:00:00	;537.15513366
	2006-04-01 00:00:00	;698.63646312
	2006-05-01 00:00:00	;746.54625402
	2006-06-01 00:00:00	;754.306911
	2006-07-01 00:00:00	;642.74308866
	2006-08-01 00:00:00	;391.60489068
	2006-09-01 00:00:00	;269.49650778
	2006-10-01 00:00:00	;186.90207786
	2006-11-01 00:00:00	;160.50669534
	2006-12-01 00:00:00	;189.9487098
	2007-01-01 00:00:00	;214.99508592
	2007-02-01 00:00:00	;435.75222186
	2007-03-01 00:00:00	;510.31648674
	2007-04-01 00:00:00	;626.4294813
	2007-05-01 00:00:00	;641.78842428
	2007-06-01 00:00:00	;774.95707368
	2007-07-01 00:00:00	;598.92771816
	2007-08-01 00:00:00	;518.98052214
	2007-09-01 00:00:00	;315.6403302
	2007-10-01 00:00:00	;219.43482066
	2007-11-01 00:00:00	;205.30746
	2007-12-01 00:00:00	;154.68698778012
	2008-01-01 00:00:00	;220.7392815636
	2008-02-01 00:00:00	;376.92901490526
	2008-03-01 00:00:00	;426.93921895428
	2008-04-01 00:00:00	;529.2808270992
	2008-05-01 00:00:00	;679.6970578818
	2008-06-01 00:00:00	;785.3262944274
	2008-07-01 00:00:00	;611.321272542
	2008-08-01 00:00:00	;352.507200165
	2008-09-01 00:00:00	;275.3585454978
	2008-10-01 00:00:00	;169.377637158
	2008-11-01 00:00:00	;138.5463260088
	2008-12-01 00:00:00	;179.514986553
	2009-01-01 00:00:00	;263.6162264916
	2009-02-01 00:00:00	;474.7864613598
	2009-03-01 00:00:00	;404.1885934008
	2009-04-01 00:00:00	;649.2776783454
	2009-05-01 00:00:00	;709.0415931492
	2009-06-01 00:00:00	;679.83043574472
	2009-07-01 00:00:00	;696.93420773961
	2009-08-01 00:00:00	;462.012697147518
	2009-09-01 00:00:00	;351.4664906424
	2009-10-01 00:00:00	;170.8493613462
	2009-11-01 00:00:00	;139.5727763004
	2009-12-01 00:00:00	;156.970188891
	2010-01-01 00:00:00	;227.7756011232
	2010-02-01 00:00:00	;399.6580497012
	2010-03-01 00:00:00	;518.2537898412
	2010-04-01 00:00:00	;634.3212826692
	2010-05-01 00:00:00	;591.6099288744
	2010-06-01 00:00:00	;767.363715970585
	2010-07-01 00:00:00	;716.833122273
	2010-08-01 00:00:00	;456.711373737
	2010-09-01 00:00:00	;296.55999558
	2010-10-01 00:00:00	;184.9387865436
	2010-11-01 00:00:00	;130.679353945829
	2010-12-01 00:00:00	;171.4781505078
	2011-01-01 00:00:00	;265.704594327
	2011-02-01 00:00:00	;367.9288625934
	2011-03-01 00:00:00	;561.5150866128
	2011-04-01 00:00:00	;752.6996235666
	2011-05-01 00:00:00	;631.545177492
	2011-06-01 00:00:00	;747.2271450744
	2011-07-01 00:00:00	;714.9914966304
	2011-08-01 00:00:00	;517.760307
	2011-09-01 00:00:00	;379.9356228
	2011-10-01 00:00:00	;118.39501989576
	2011-11-01 00:00:00	;180.24924730302
	2011-12-01 00:00:00	;221.450042725228
	2012-01-01 00:00:00	;360.350426689214
	2012-02-01 00:00:00	;521.369845860724
	2012-03-01 00:00:00	;453.8120112
	2012-04-01 00:00:00	;743.4580122
	2012-05-01 00:00:00	;768.547845
	2012-06-01 00:00:00	;926.7518304
	2012-07-01 00:00:00	;775.3731516
	2012-08-01 00:00:00	;410.7043836
	2012-09-01 00:00:00	;328.8110922
	2012-10-01 00:00:00	;167.642446726898
	2012-11-01 00:00:00	;166.269861
	2012-12-01 00:00:00	;238.2586308
	2013-01-01 00:00:00	;317.7954108
	2013-02-01 00:00:00	;389.2521474
	2013-03-01 00:00:00	;503.9882712
	2013-04-01 00:00:00	;641.5905636
	2013-05-01 00:00:00	;784.8811404
	2013-06-01 00:00:00	;863.6939172
	2013-07-01 00:00:00	;753.2621658
	2013-08-01 00:00:00	;486.7201602
	2013-09-01 00:00:00	;204.930063
	2013-10-01 00:00:00	;180.1982178
	2013-11-01 00:00:00	;174.47319
	2013-12-01 00:00:00	;131.8993974
	2014-01-01 00:00:00	;114.4689534
	2014-02-01 00:00:00	;215.553006
	2014-03-01 00:00:00	;443.4343776
	2014-04-01 00:00:00	;515.7799056
	2014-05-01 00:00:00	;645.6516732
	2014-06-01 00:00:00	;721.5957612
	2014-07-01 00:00:00	;674.12243467944
	2014-08-01 00:00:00	;666.45467694864
	2014-09-01 00:00:00	;460.1171754
	2014-10-01 00:00:00	;326.728638
	2014-11-01 00:00:00	;151.1081226
	2014-12-01 00:00:00	;145.7395848
	2015-01-01 00:00:00	;213.3113346
	2015-02-01 00:00:00	;261.6683472
	2015-03-01 00:00:00	;367.0662708
	2015-04-01 00:00:00	;554.4869076
	2015-05-01 00:00:00	;747.5375952
	2015-06-01 00:00:00	;795.141333
	2015-07-01 00:00:00	;842.4873558
	2015-08-01 00:00:00	;690.7756662
	2015-09-01 00:00:00	;486.76176
	2015-10-01 00:00:00	;323.518518
