date;"puechabon_gross_primary_production (gC/m2)";"puechabon_ecosystem_respiration (gC/m2)"
	2000-01-01 00:00:00	;NaN;NaN
	2000-02-01 00:00:00	;NaN;NaN
	2000-03-01 00:00:00	;NaN;NaN
	2000-04-01 00:00:00	;NaN;NaN
	2000-05-01 00:00:00	;NaN;NaN
	2000-06-01 00:00:00	;NaN;NaN
	2000-07-01 00:00:00	;NaN;NaN
	2000-08-01 00:00:00	;92.806691976;83.843506944
	2000-09-01 00:00:00	;117.405471384;122.877070632
	2000-10-01 00:00:00	;127.447712496;127.328985504
	2000-11-01 00:00:00	;70.625723472;73.738429056
	2000-12-01 00:00:00	;38.053232352;56.161394496
	2001-01-01 00:00:00	;62.929083816;55.49058252
	2001-02-01 00:00:00	;94.113717264;50.53844664
	2001-03-01 00:00:00	;153.45843228;91.900788624
	2001-04-01 00:00:00	;151.457689296;76.8267504
	2001-05-01 00:00:00	;187.336204488;154.644619824
	2001-06-01 00:00:00	;184.069057392;126.957432456
	2001-07-01 00:00:00	;123.398955576;90.541331712
	2001-08-01 00:00:00	;90.44881848;83.766202704
	2001-09-01 00:00:00	;72.085358808;74.074704768
	2001-10-01 00:00:00	;119.350651176;164.319580584
	2001-11-01 00:00:00	;95.371896096;77.173673616
	2001-12-01 00:00:00	;51.752228184;48.180804048
	2002-01-01 00:00:00	;60.33053664;56.443366512
	2002-02-01 00:00:00	;81.625536432;53.504994528
	2002-03-01 00:00:00	;128.771344728;73.104617016
	2002-04-01 00:00:00	;131.723851752;79.48391328
	2002-05-01 00:00:00	;185.916802176;142.403252688
	2002-06-01 00:00:00	;197.691246432;115.547082336
	2002-07-01 00:00:00	;112.77579888;79.643089728
	2002-08-01 00:00:00	;66.240184104;81.23699196
	2002-09-01 00:00:00	;161.16651972;124.271022096
	2002-10-01 00:00:00	;134.06992452;114.556819752
	2002-11-01 00:00:00	;99.762651;94.37297904
	2002-12-01 00:00:00	;63.890151192;56.521746648
	2003-01-01 00:00:00	;62.484638112;43.79713524
	2003-02-01 00:00:00	;66.055004496;42.179152464
	2003-03-01 00:00:00	;129.990162096;49.676699088
	2003-04-01 00:00:00	;135.087986304;63.895075992
	2003-05-01 00:00:00	;189.44152668;140.765618232
	2003-06-01 00:00:00	;202.649886072;128.470296456
	2003-07-01 00:00:00	;99.98015868;90.672167016
	2003-08-01 00:00:00	;57.8125727829313;103.559739174931
	2003-09-01 00:00:00	;106.304969168745;111.436952696745
	2003-10-01 00:00:00	;107.292058488;110.092023288
	2003-11-01 00:00:00	;81.889354728;90.930455712
	2003-12-01 00:00:00	;63.84234348;52.843352832
	2004-01-01 00:00:00	;73.677460032;46.311763608
	2004-02-01 00:00:00	;82.911200184;43.690877064
	2004-03-01 00:00:00	;114.428470824;55.262819376
	2004-04-01 00:00:00	;144.26008632;72.559148976
	2004-05-01 00:00:00	;167.58809604;114.375024216
	2004-06-01 00:00:00	;193.360060224;114.868935
	2004-07-01 00:00:00	;133.712321616;83.295476064
	2004-08-01 00:00:00	;147.803294376;151.988254416
	2004-09-01 00:00:00	;153.045991728;114.013503936
	2004-10-01 00:00:00	;113.892286896;120.479286384
	2004-11-01 00:00:00	;83.80399536;57.451461192
	2004-12-01 00:00:00	;66.064957992;48.850902144
	2005-01-01 00:00:00	;67.316552496;42.807982896
	2005-02-01 00:00:00	;60.080726592;34.291773144
	2005-03-01 00:00:00	;84.76461108;52.593705864
	2005-04-01 00:00:00	;148.8562704;75.440258712
	2005-05-01 00:00:00	;157.0383018;91.526586552
	2005-06-01 00:00:00	;131.015481912;105.959144304
	2005-07-01 00:00:00	;87.992619624;88.789041864
	2005-08-01 00:00:00	;40.78835028;66.384057384
	2005-09-01 00:00:00	;94.366574208;108.137076408
	2005-10-01 00:00:00	;82.203473808;124.129417464
	2005-11-01 00:00:00	;64.340939736;77.64458364
	2005-12-01 00:00:00	;34.436286216;35.94482028
	2006-01-01 00:00:00	;44.517358296;30.15170676
	2006-02-01 00:00:00	;51.890551344;27.952045704
	2006-03-01 00:00:00	;71.514621312;42.500709408
	2006-04-01 00:00:00	;94.410176096;50.218173632
	2006-05-01 00:00:00	;124.457072088;88.482886824
	2006-06-01 00:00:00	;115.862672808;64.47891168
	2006-07-01 00:00:00	;34.960019248;39.182672152
	2006-08-01 00:00:00	;59.508272864;62.960487032
	2006-09-01 00:00:00	;75.5147937174648;103.726723128
	2006-10-01 00:00:00	;117.700153312;133.245281056
	2006-11-01 00:00:00	;84.07654524;84.199542984
	2006-12-01 00:00:00	;70.826042952;68.673853512
	2007-01-01 00:00:00	;70.5048354;52.382261088
	2007-02-01 00:00:00	;73.554813504;43.073042328
	2007-03-01 00:00:00	;130.293339696;55.332730368
	2007-04-01 00:00:00	;161.175253032;97.291277064
	2007-05-01 00:00:00	;171.499933584;128.514354192
	2007-06-01 00:00:00	;221.009824296;142.152572592
	2007-07-01 00:00:00	;161.074528128;102.409169832
	2007-08-01 00:00:00	;80.599836456;69.981212736
	2007-09-01 00:00:00	;69.851688336;77.428911744
	2007-10-01 00:00:00	;109.16282412;116.933759136
	2007-11-01 00:00:00	;78.393526704;73.517073984
	2007-12-01 00:00:00	;57.906294984;46.57473756
	2008-01-01 00:00:00	;57.0066180480001;47.3542316639999
	2008-02-01 00:00:00	;77.444395488;44.503711416
	2008-03-01 00:00:00	;107.418488256;47.8579028400001
	2008-04-01 00:00:00	;119.748523392;64.7208999359999
	2008-05-01 00:00:00	;151.083363888;134.001491184
	2008-06-01 00:00:00	;185.77173852;141.985496592
	2008-07-01 00:00:00	;170.964092664;113.582891952
	2008-08-01 00:00:00	;84.8367900720001;74.370107232
	2008-09-01 00:00:00	;68.9410664639998;54.2077006320001
	2008-10-01 00:00:00	;49.4747645759999;71.4559866480002
	2008-11-01 00:00:00	;61.0568532720001;65.96714844
	2008-12-01 00:00:00	;34.136500032;37.473170184
	2009-01-01 00:00:00	;52.0145245440001;39.445365096
	2009-02-01 00:00:00	;70.112534256;43.333307856
	2009-03-01 00:00:00	;128.171448144;59.338620792
	2009-04-01 00:00:00	;142.357825512;94.8687299279999
	2009-05-01 00:00:00	;170.039677464;144.873251136
	2009-06-01 00:00:00	;183.184049664;130.27135176
	2009-07-01 00:00:00	;148.1971572;96.3403038
	2009-08-01 00:00:00	;43.324952976;61.3371065759999
	2009-09-01 00:00:00	;44.908821576;59.0889833280001
	2009-10-01 00:00:00	;93.3280051679999;88.6435207200001
	2009-11-01 00:00:00	;79.0687055520001;70.1793540719998
	2009-12-01 00:00:00	;48.028985856;54.8822869920001
	2010-01-01 00:00:00	;45.198036072;40.6127100960001
	2010-02-01 00:00:00	;51.06363228;39.37516596
	2010-03-01 00:00:00	;91.4133308399999;49.649775768
	2010-04-01 00:00:00	;143.75482344;83.2727645280002
	2010-05-01 00:00:00	;149.249942928;103.739922936
	2010-06-01 00:00:00	;162.032692032;147.501816912
	2010-07-01 00:00:00	;110.100644712;91.539070488
	2010-08-01 00:00:00	;40.8400243920001;50.973842592
	2010-09-01 00:00:00	;76.07127528;87.899056416
	2010-10-01 00:00:00	;82.668582936;87.3772233119999
	2010-11-01 00:00:00	;71.786088216;71.61543612
	2010-12-01 00:00:00	;42.4296347040001;44.5033494
	2011-01-01 00:00:00	;42.665524848;42.072305472
	2011-02-01 00:00:00	;76.70081484;47.218830552
	2011-03-01 00:00:00	;106.437195936;60.623058096
	2011-04-01 00:00:00	;134.34335352;89.711111736
	2011-05-01 00:00:00	;159.126481584;115.74104472
	2011-06-01 00:00:00	;183.378104712;114.416833824
	2011-07-01 00:00:00	;126.614642184;88.285064184
	2011-08-01 00:00:00	;143.220656952;130.749445728
	2011-09-01 00:00:00	;108.810449712;101.877494472
	2011-10-01 00:00:00	;42.586027128;63.4752244800001
	2011-11-01 00:00:00	;41.6487461039999;88.8834917519999
	2011-12-01 00:00:00	;61.514811288;52.148526408
	2012-01-01 00:00:00	;60.121500696;36.376776864
	2012-02-01 00:00:00	;73.178687736;26.29821924
	2012-03-01 00:00:00	;109.113694272;44.885966616
	2012-04-01 00:00:00	;123.155355744;75.684328344
	2012-05-01 00:00:00	;147.149030592;144.679581216
	2012-06-01 00:00:00	;198.651080232;150.825048192
	2012-07-01 00:00:00	;177.383439648;116.711699904
	2012-08-01 00:00:00	;60.692536224;70.910279064
	2012-09-01 00:00:00	;120.022917912;94.15444968
	2012-10-01 00:00:00	;106.431809112;110.993870376
	2012-11-01 00:00:00	;68.96162232;85.656510936
	2012-12-01 00:00:00	;49.024583856;51.831986184
	2013-01-01 00:00:00	;59.01983676;40.3182599760001
	2013-02-01 00:00:00	;56.360227032;29.835231768
	2013-03-01 00:00:00	;53.287848;39.923846136
	2013-04-01 00:00:00	;81.636942312;61.5100815359999
	2013-05-01 00:00:00	;100.983398112;77.7809262959999
	2013-06-01 00:00:00	;145.876525992;117.780421032
	2013-07-01 00:00:00	;90.3438547919999;78.081092208
	2013-08-01 00:00:00	;39.807875952;32.062298904
	2013-09-01 00:00:00	;44.3047631040001;36.10617228
	2013-10-01 00:00:00	;34.132356288;38.305945872
