date;"puechabon_photosynthetic_active_radiation (mol.m-2)"
	2000-01-01 00:00:00	;NaN
	2000-02-01 00:00:00	;NaN
	2000-03-01 00:00:00	;NaN
	2000-04-01 00:00:00	;NaN
	2000-05-01 00:00:00	;NaN
	2000-06-01 00:00:00	;NaN
	2000-07-01 00:00:00	;1292.244509925
	2000-08-01 00:00:00	;814.61772495
	2000-09-01 00:00:00	;639.834971175
	2000-10-01 00:00:00	;415.48602105
	2000-11-01 00:00:00	;252.656712675
	2000-12-01 00:00:00	;276.77084805
	2001-01-01 00:00:00	;599.4757836
	2001-02-01 00:00:00	;790.606332
	2001-03-01 00:00:00	;1191.21948135
	2001-04-01 00:00:00	;1295.430960825
	2001-05-01 00:00:00	;1534.862914875
	2001-06-01 00:00:00	;1583.8980084
	2001-07-01 00:00:00	;1483.6820301
	2001-08-01 00:00:00	;1111.3194735
	2001-09-01 00:00:00	;596.0941227
	2001-10-01 00:00:00	;301.60845315
	2001-11-01 00:00:00	;418.001583375
	2001-12-01 00:00:00	;410.689211175
	2002-01-01 00:00:00	;504.24274305
	2002-02-01 00:00:00	;879.401591775
	2002-03-01 00:00:00	;889.6573035
	2002-04-01 00:00:00	;1386.93999195
	2002-05-01 00:00:00	;1505.99066535
	2002-06-01 00:00:00	;1679.05534635
	2002-07-01 00:00:00	;1357.095920625
	2002-08-01 00:00:00	;887.18360805
	2002-09-01 00:00:00	;609.995494575
	2002-10-01 00:00:00	;378.560978325
	2002-11-01 00:00:00	;210.747442275
	2002-12-01 00:00:00	;370.63861335
	2003-01-01 00:00:00	;404.4420477
	2003-02-01 00:00:00	;787.47066405
	2003-03-01 00:00:00	;950.9705775
	2003-04-01 00:00:00	;1368.2949543
	2003-05-01 00:00:00	;1338.00772185
	2003-06-01 00:00:00	;1637.972172675
	2003-07-01 00:00:00	;1417.98932505
	2003-08-01 00:00:00	;993.9538188
	2003-09-01 00:00:00	;528.70784535
	2003-10-01 00:00:00	;294.956848575
	2003-11-01 00:00:00	;247.30514595
	2003-12-01 00:00:00	;235.423746
	2004-01-01 00:00:00	;414.7074144
	2004-02-01 00:00:00	;746.384679
	2004-03-01 00:00:00	;881.1658944
	2004-04-01 00:00:00	;1256.1557328
	2004-05-01 00:00:00	;1543.6984734
	2004-06-01 00:00:00	;1621.4163282
	2004-07-01 00:00:00	;1171.0896768
	2004-08-01 00:00:00	;970.536555
	2004-09-01 00:00:00	;443.1866526
	2004-10-01 00:00:00	;435.2140674
	2004-11-01 00:00:00	;351.4676526
	2004-12-01 00:00:00	;456.1451262
	2005-01-01 00:00:00	;585.9087948
	2005-02-01 00:00:00	;888.6665052
	2005-03-01 00:00:00	;953.3862018
	2005-04-01 00:00:00	;1476.1926432
	2005-05-01 00:00:00	;1487.9757816
	2005-06-01 00:00:00	;1622.0717982
	2005-07-01 00:00:00	;1415.176002
	2005-08-01 00:00:00	;885.5325396
	2005-09-01 00:00:00	;417.289068
	2005-10-01 00:00:00	;394.2728982
	2005-11-01 00:00:00	;358.7807196
	2005-12-01 00:00:00	;338.6243916
	2006-01-01 00:00:00	;605.3939586
	2006-02-01 00:00:00	;795.4456968
	2006-03-01 00:00:00	;1117.9738314
	2006-04-01 00:00:00	;1478.8458738
	2006-05-01 00:00:00	;1573.4586978
	2006-06-01 00:00:00	;1567.7513964
	2006-07-01 00:00:00	;1377.5752746
	2006-08-01 00:00:00	;840.573297
	2006-09-01 00:00:00	;578.300895
	2006-10-01 00:00:00	;425.9783322
	2006-11-01 00:00:00	;361.7701056
	2006-12-01 00:00:00	;0
	2007-01-01 00:00:00	;0
	2007-02-01 00:00:00	;593.2262124
	2007-03-01 00:00:00	;1061.7326046
	2007-04-01 00:00:00	;1327.5450288
	2007-05-01 00:00:00	;1350.4148028
	2007-06-01 00:00:00	;1656.7380108
	2007-07-01 00:00:00	;1297.0210266
	2007-08-01 00:00:00	;1113.7883562
	2007-09-01 00:00:00	;680.7690216
	2007-10-01 00:00:00	;498.2622066
	2007-11-01 00:00:00	;466.0213662
	2007-12-01 00:00:00	;394.3622124
	2008-01-01 00:00:00	;557.5377978
	2008-02-01 00:00:00	;907.0968492
	2008-03-01 00:00:00	;987.3818334
	2008-04-01 00:00:00	;1123.3027494
	2008-05-01 00:00:00	;1387.9138392
	2008-06-01 00:00:00	;1666.603926
	2008-07-01 00:00:00	;1318.250511
	2008-08-01 00:00:00	;976.4136378
	2008-09-01 00:00:00	;610.9086816
	2008-10-01 00:00:00	;377.7272226
	2008-11-01 00:00:00	;322.8125976
	2008-12-01 00:00:00	;399.0306474
	2009-01-01 00:00:00	;547.6748238
	2009-02-01 00:00:00	;958.6367316
	2009-03-01 00:00:00	;844.641315
	2009-04-01 00:00:00	;1357.2315504
	2009-05-01 00:00:00	;1515.3904368
	2009-06-01 00:00:00	;1464.95119060938
	2009-07-01 00:00:00	;1514.06561523087
	2009-08-01 00:00:00	;1012.18709842912
	2009-09-01 00:00:00	;797.4905904
	2009-10-01 00:00:00	;392.0209794
	2009-11-01 00:00:00	;328.4817462
	2009-12-01 00:00:00	;364.0214664
	2010-01-01 00:00:00	;511.5535956
	2010-02-01 00:00:00	;874.72125
	2010-03-01 00:00:00	;1108.8178416
	2010-04-01 00:00:00	;1352.8126854
	2010-05-01 00:00:00	;1263.086883
	2010-06-01 00:00:00	;1663.66781865933
	2010-07-01 00:00:00	;1583.688717
	2010-08-01 00:00:00	;1031.023125
	2010-09-01 00:00:00	;664.9619202
	2010-10-01 00:00:00	;422.8634394
	2010-11-01 00:00:00	;299.178473292
	2010-12-01 00:00:00	;383.9579118
	2011-01-01 00:00:00	;588.1189572
	2011-02-01 00:00:00	;775.7016786
	2011-03-01 00:00:00	;1164.5268372
	2011-04-01 00:00:00	;1565.2299762
	2011-05-01 00:00:00	;1370.9348334
	2011-06-01 00:00:00	;1635.1315884
	2011-07-01 00:00:00	;1413.7510914
	2011-08-01 00:00:00	;1042.9095708
	2011-09-01 00:00:00	;781.6141386
	2011-10-01 00:00:00	;226.467341946
	2011-11-01 00:00:00	;386.917936326
	2011-12-01 00:00:00	;383.225406955445
	2012-01-01 00:00:00	;610.596367161574
	2012-02-01 00:00:00	;935.986966745781
	2012-03-01 00:00:00	;884.1600864
	2012-04-01 00:00:00	;1402.456644
	2012-05-01 00:00:00	;1483.3181682
	2012-06-01 00:00:00	;1782.6116112
	2012-07-01 00:00:00	;1509.0193458
	2012-08-01 00:00:00	;944.9895996
	2012-09-01 00:00:00	;647.0866062
	2012-10-01 00:00:00	;345.026758708242
	2012-11-01 00:00:00	;339.7876542
	2012-12-01 00:00:00	;485.5073832
	2013-01-01 00:00:00	;633.309345
	2013-02-01 00:00:00	;752.897439
	2013-03-01 00:00:00	;961.1071002
	2013-04-01 00:00:00	;1192.8466836
	2013-05-01 00:00:00	;1438.6521438
	2013-06-01 00:00:00	;1593.3653496
	2013-07-01 00:00:00	;1392.5412414
	2013-08-01 00:00:00	;902.001069
	2013-09-01 00:00:00	;371.7769266
	2013-10-01 00:00:00	;330.8636286
	2013-11-01 00:00:00	;307.494738
	2013-12-01 00:00:00	;232.6329162
	2014-01-01 00:00:00	;250.9957764
	2014-02-01 00:00:00	;450.3977532
	2014-03-01 00:00:00	;905.5601766
	2014-04-01 00:00:00	;1086.2414964
	2014-05-01 00:00:00	;1329.4046412
	2014-06-01 00:00:00	;1475.2033848
	2014-07-01 00:00:00	;1397.3558742
	2014-08-01 00:00:00	;1368.838242
	2014-09-01 00:00:00	;913.4714826
	2014-10-01 00:00:00	;660.9369942
	2014-11-01 00:00:00	;312.700626
	2014-12-01 00:00:00	;297.4196718
	2015-01-01 00:00:00	;432.0785232
	2015-02-01 00:00:00	;536.6234538
	2015-03-01 00:00:00	;765.7003386
	2015-04-01 00:00:00	;1133.8724106
	2015-05-01 00:00:00	;1536.4900944
	2015-06-01 00:00:00	;1670.850468
	2015-07-01 00:00:00	;1741.4748918
	2015-08-01 00:00:00	;1424.6432028
	2015-09-01 00:00:00	;980.4408264
